%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
1985 2 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.10000 87.00 1.40 97.25 0.00 0.00 -999.00 262.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 70.00
1985 3 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.30000 85.00 1.70 97.26 0.00 0.00 -999.00 267.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 80.00
1985 3 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 7.20000 86.00 1.60 97.28 0.00 0.00 -999.00 269.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 80.00
1985 3 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 7.80000 88.00 1.20 97.33 0.00 0.00 -999.00 270.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 90.00
1985 3 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.10000 85.00 1.50 97.39 0.00 0.00 -999.00 274.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 90.00
1985 3 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.20000 83.00 1.70 97.41 0.00 0.00 -999.00 271.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 70.00
1985 3 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.70000 86.00 0.90 97.43 0.00 0.00 -999.00 268.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 70.00
1985 3 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 7.80000 84.00 1.30 97.44 0.00 0.00 -999.00 263.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 100.00
1985 3 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 7.20000 86.00 1.10 97.49 0.00 0.00 -999.00 265.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 90.00
1985 3 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.10000 87.00 0.40 97.55 0.00 0.00 -999.00 269.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 90.00
1985 3 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.30000 82.00 1.70 97.60 0.00 0.00 -999.00 279.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 90.00
1985 3 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.30000 84.00 2.00 97.67 0.00 84.00 -999.00 281.00 -999.00 -999.00 -999.00 -999.00 55.00 192.00 110.00
1985 3 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.60000 80.00 3.20 97.70 0.00 135.00 -999.00 286.00 -999.00 -999.00 -999.00 -999.00 101.00 147.00 110.00
1985 3 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.10000 76.00 3.80 97.70 0.00 173.00 -999.00 295.00 -999.00 -999.00 -999.00 -999.00 113.00 217.00 90.00
